Time_Index,BANC_Hydro,CAISO_Hydro,Customer_PV,LDWP_Hydro,NW_Hydro,NW_Hydro_for_CAISO,SW_Hydro
251,196.309,1169.431,8423.166,27.7,11530.107,798.417,166.906
252,196.309,1169.431,9323.756,27.7,10162.95,798.417,166.906
253,196.309,1169.431,7557.893,27.7,9029.81,798.417,166.906
254,196.309,1169.431,9853.515,27.7,8807.288,798.417,166.906
255,196.309,1169.431,7328.331,27.7,9089.878,798.417,166.906
256,196.309,1169.431,5968.617,27.7,10457.036,798.417,166.906
257,196.309,1169.431,3390.457,27.7,10524.614,798.417,166.906
258,196.309,1169.431,1147.811,27.7,9157.456,818.59,166.906
259,196.309,1749.55,0.0,442.703,10524.614,942.529,166.906
260,196.309,2332.6,0.0,27.7,11167.309,1059.768,1383.212
261,196.309,2483.159,0.0,27.7,9800.151,1162.492,1383.212
262,196.309,2364.444,0.0,27.7,8807.288,1244.373,166.906
263,196.309,3185.857,0.0,291.239,8807.288,1244.373,1383.212
264,196.309,3527.613,0.0,442.703,8807.288,1138.969,166.906
265,99.899,2272.976,0.0,5.0,15190.799,1344.689,203.301
266,99.899,2628.68,0.0,303.905,13897.541,1324.691,418.364
267,99.899,1913.662,0.0,5.0,13263.072,1448.63,1488.3
268,99.899,1658.082,0.0,5.0,13303.456,1565.869,1488.3
269,134.837,1968.299,0.0,5.0,14436.596,1565.869,203.301
270,346.331,1855.541,0.0,5.0,15803.753,1546.255,1488.3
271,626.393,1704.982,0.0,5.0,17097.011,1443.531,203.301
272,730.3,1363.226,1854.156,5.0,17056.627,1326.292,203.301
273,628.941,541.813,7363.648,5.0,15763.37,1202.353,1488.3
274,99.899,541.813,13014.41,5.0,14396.212,1202.353,203.301
275,99.899,541.813,17075.894,5.0,13263.072,1202.353,203.301
276,99.899,541.813,19265.564,5.0,13263.072,1202.353,203.301
277,99.899,541.813,19247.906,5.0,13263.072,1202.353,203.301
278,99.899,541.813,17729.263,5.0,13263.072,1202.353,203.301
279,99.899,541.813,14691.979,5.0,13263.072,1202.353,203.301
280,99.899,541.813,9800.539,5.0,13263.072,1202.353,203.301
281,99.899,541.813,3655.336,5.0,14396.212,1202.353,203.301
282,99.899,883.569,0.0,5.0,15689.469,1326.292,203.301
283,468.833,1704.982,0.0,381.3,17056.627,1443.531,1488.3
284,730.3,1855.541,0.0,381.3,17272.991,1546.255,1488.3
285,730.3,1978.12,0.0,5.0,17272.991,1565.869,203.301
286,450.675,2319.876,0.0,381.3,17272.991,1565.869,1488.3
287,213.654,3094.389,0.0,381.3,17272.991,1565.869,203.301
288,99.899,3094.389,0.0,381.3,16557.956,1468.627,1488.3
289,1172.898,3554.127,0.0,466.804,18844.368,1729.613,744.637
290,385.009,3554.127,0.0,466.804,18740.313,1729.613,1578.004
291,385.009,3332.153,0.0,37.1,17373.155,1729.613,242.914
292,1172.898,2510.739,0.0,37.1,18740.313,1729.613,1578.004
293,385.009,2388.16,0.0,37.1,19079.24,1729.613,1578.004
294,1172.898,2237.601,688.687,37.1,19079.24,1697.177,1578.004
295,385.009,1895.845,4838.464,466.804,19079.24,1579.938,242.914
296,385.009,1074.432,11054.302,37.1,18260.595,1455.999,242.914
297,385.009,1074.432,16916.967,37.1,18260.532,1455.999,242.914
298,385.009,1074.432,21172.696,37.1,17057.349,1455.999,242.914
299,385.009,1074.432,24086.37,37.1,16061.024,1455.999,242.914
300,385.009,1074.432,25375.45,466.804,16061.024,1455.999,242.914
301,385.009,1074.432,25004.619,37.1,16061.024,1455.999,242.914
302,385.009,1074.432,23397.683,37.1,16061.024,1455.999,242.914
303,385.009,1074.432,20342.741,37.1,16061.024,1455.999,242.914
304,385.009,1074.432,15433.642,37.1,16061.024,1455.999,242.914
305,385.009,1074.432,9676.929,37.1,16061.024,1455.999,242.914
306,385.009,1146.59,3831.922,37.1,16485.529,1518.94,242.914
307,1172.898,1968.003,335.514,37.1,17852.687,1642.878,242.914
308,385.009,2309.759,0.0,257.219,17712.083,1729.613,242.914
309,847.02,2460.318,0.0,37.1,19079.24,1729.613,1578.004
310,1172.898,2582.897,0.0,364.277,17712.083,1729.613,1578.004
311,1172.898,3404.31,0.0,37.1,18569.874,1729.613,1578.004
312,1172.898,3554.127,0.0,411.668,18077.052,1729.613,1578.004
313,249.308,3242.616,0.0,5.7,9164.762,953.973,1453.512
314,767.321,3242.616,0.0,364.297,8375.775,953.973,187.503
315,249.308,2559.585,0.0,5.7,8024.933,953.973,187.503
316,249.308,2168.717,0.0,364.297,6731.676,953.973,187.503
317,249.308,2046.138,0.0,5.7,5364.518,854.86,187.503
318,962.105,1895.579,0.0,5.7,6657.776,772.978,1453.512
319,887.718,1123.277,2560.501,5.7,8024.933,655.739,772.322
320,249.308,732.41,8264.238,5.7,6676.845,531.801,187.503
321,249.308,732.41,13879.682,5.7,6100.274,429.077,187.503
322,249.308,732.41,18912.392,5.7,4733.116,429.077,187.503
323,249.308,732.41,22391.141,5.7,4733.116,429.077,187.503
324,249.308,732.41,23733.197,5.7,5304.672,429.077,187.503
325,249.308,732.41,23468.318,5.7,6671.829,429.077,187.503
326,249.308,732.41,21631.82,5.7,5304.672,429.077,187.503
327,249.308,732.41,17764.581,5.7,6671.829,429.077,187.503
328,249.308,732.41,13102.703,5.7,6729.659,430.411,187.503
329,249.308,732.41,6939.841,5.7,7862.799,533.135,1453.512
330,962.105,1553.823,1253.763,364.297,9156.057,657.073,1453.512
331,480.995,1895.579,0.0,5.7,10523.214,774.312,1453.512
332,738.531,2046.138,0.0,5.7,10523.214,856.194,187.503
333,962.105,2168.717,0.0,364.297,10523.214,953.973,1453.512
334,962.105,2990.13,0.0,247.944,10294.456,953.973,1453.512
335,767.11,3242.616,0.0,5.7,10523.214,953.973,187.503
336,435.101,3242.616,0.0,364.297,9560.143,953.973,1453.512
337,191.503,1911.732,0.0,336.104,14340.483,1314.27,172.794
338,24.398,2733.145,0.0,0.0,14378.887,1314.27,172.794
339,24.398,2440.323,0.0,0.0,13614.32,1314.27,1406.792
340,613.102,1618.91,0.0,0.0,12311.388,1197.031,1406.792
341,24.398,1496.331,0.0,0.0,13678.546,1073.092,172.794
342,24.398,1345.772,0.0,305.176,13225.664,1192.592,1406.792
343,613.102,1004.016,0.0,0.0,11932.407,1075.353,172.794
344,24.398,182.603,1871.815,0.0,10565.249,951.414,172.794
345,24.398,182.603,7045.793,0.0,9738.843,882.867,661.707
346,24.398,182.603,11124.936,0.0,9738.843,882.867,172.794
347,24.398,182.603,14444.758,0.0,9738.843,882.867,172.794
348,24.398,182.603,16263.597,0.0,9738.843,882.867,172.794
349,24.398,182.603,16528.477,0.0,9738.843,882.867,172.794
350,24.398,182.603,14586.027,0.0,9738.843,882.867,172.794
351,24.398,182.603,10771.764,0.0,9738.843,882.867,172.794
352,24.398,182.603,6339.448,0.0,9738.843,882.867,172.794
353,24.398,182.603,565.076,0.0,9738.843,882.867,172.794
354,24.398,832.503,0.0,336.104,11106.001,1006.805,172.794
355,467.735,1174.259,0.0,336.104,12399.258,1124.045,1406.792
356,613.102,1296.838,0.0,0.0,13532.398,1226.769,1406.792
357,24.398,1447.397,0.0,0.0,14435.626,1308.65,772.733
358,24.398,2268.81,0.0,0.0,14497.62,1314.27,1406.792
359,613.102,2610.566,0.0,0.0,14497.62,1314.27,172.794
360,613.102,2733.145,0.0,336.104,14497.62,1314.27,1406.792
361,439.11,4067.494,0.0,35.1,12617.664,1469.696,1808.803
362,1256.803,4067.494,0.0,35.1,13984.821,1469.696,1808.803
363,1256.803,3764.504,0.0,463.305,14844.952,1469.696,1808.803
364,1256.803,3203.778,0.0,35.1,16212.109,1469.696,347.197
365,439.11,3081.198,0.0,35.1,15397.571,1425.219,347.197
366,1256.803,2930.639,512.1,66.729,16212.109,1322.495,1808.803
367,439.11,2328.197,4026.167,463.305,16212.109,1205.256,1646.479
368,439.11,1767.47,9147.17,35.1,15309.306,1081.317,347.197
369,439.11,1767.47,14815.59,35.1,13942.148,1081.317,347.197
370,439.11,1767.47,19300.881,35.1,12648.891,1081.317,347.197
371,439.11,1767.47,22285.19,35.1,11927.938,1081.317,347.197
372,439.11,1767.47,23715.539,35.1,11927.938,1081.317,347.197
373,439.11,1767.47,23697.88,35.1,11927.938,1081.317,347.197
374,439.11,1767.47,22302.848,35.1,11927.938,1081.317,347.197
375,439.11,1767.47,19583.419,35.1,11927.938,1081.317,347.197
376,439.11,1767.47,15680.862,35.1,12120.987,1081.317,347.197
377,439.11,1767.47,10542.201,35.1,13414.244,1081.317,347.197
378,439.11,1767.47,5121.002,35.1,14781.402,1119.606,347.197
379,1256.803,2588.884,865.273,35.1,15914.542,1243.545,347.197
380,439.11,2930.639,0.0,463.305,14547.384,1360.784,1808.803
381,1256.803,3081.198,0.0,463.305,15278.079,1463.508,1808.803
382,1256.803,3203.778,0.0,463.305,13910.921,1469.696,1808.803
383,1055.822,4025.191,0.0,463.305,12617.664,1469.696,1808.803
384,439.11,4067.494,0.0,35.1,13984.821,1469.696,347.197
385,271.3,3583.973,0.0,28.2,12747.001,1499.471,1682.003
386,396.76,3583.973,0.0,28.2,14114.159,1499.471,289.4
387,664.454,3336.216,0.0,436.399,13236.995,1499.471,1682.003
388,892.406,2514.803,0.0,28.2,13143.002,1499.471,1682.003
389,996.397,2392.224,0.0,28.2,14436.259,1499.471,1682.003
390,996.397,2241.665,35.317,436.399,15803.417,1463.275,1682.003
391,996.397,1899.909,3425.774,436.399,16540.556,1360.551,289.4
392,271.3,1078.496,10153.712,28.2,16540.556,1236.613,289.4
393,271.3,1078.496,16369.549,28.2,15173.398,1119.374,289.4
394,271.3,1078.496,21155.037,28.2,13990.708,1119.374,289.4
395,271.3,1078.496,24280.615,28.2,14727.5,1119.374,289.4
396,271.3,1078.496,25816.915,28.2,13360.343,1119.374,289.4
397,271.3,1078.496,25534.377,28.2,12654.012,1119.374,289.4
398,271.3,1078.496,23680.221,28.2,12347.733,1119.374,289.4
399,271.3,1078.496,20307.423,28.2,13714.891,1119.374,289.4
400,271.3,1078.496,15292.373,28.2,13978.27,1131.989,289.4
401,271.3,1078.496,9323.756,28.2,15345.428,1234.713,289.4
402,271.3,1899.909,3107.919,28.2,16540.556,1358.651,289.4
403,271.3,2241.665,52.976,436.399,16540.556,1475.891,289.4
404,325.728,2392.224,0.0,436.399,16540.556,1499.471,1682.003
405,953.983,2514.803,0.0,253.758,16540.556,1499.471,1682.003
406,811.84,3336.216,0.0,436.399,16540.556,1499.471,1682.003
407,776.796,3583.973,0.0,28.2,15407.416,1499.471,375.115
