Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2
,,,,,,,,663,735.0,0
,,,,,,,,664,813.0,0
,,,,,,,,665,987.0,0
,,,,,,,,666,1099.0,0
,,,,,,,,667,1206.0,0
,,,,,,,,668,1243.0,0
,,,,,,,,669,1239.0,0
,,,,,,,,670,1182.0,0
,,,,,,,,671,1123.0,0
,,,,,,,,672,1117.0,0
,,,,,,,,673,1145.0,0
,,,,,,,,674,1068.0,0
,,,,,,,,675,1026.0,0
,,,,,,,,676,1021.0,0
,,,,,,,,677,1080.0,0
,,,,,,,,678,1176.0,0
,,,,,,,,679,1201.0,0
,,,,,,,,680,1141.0,0
,,,,,,,,681,1066.0,0
,,,,,,,,682,991.0,0
,,,,,,,,683,933.0,0
,,,,,,,,684,1040.0,0
,,,,,,,,685,1070.0,0
,,,,,,,,686,1143.0,0
,,,,,,,,687,1196.0,0
,,,,,,,,688,1205.0,0
,,,,,,,,689,1295.0,0
,,,,,,,,690,1363.0,0
,,,,,,,,691,1418.0,0
,,,,,,,,692,1454.0,0
,,,,,,,,693,1472.0,0
,,,,,,,,694,1379.0,0
,,,,,,,,695,1336.0,0
,,,,,,,,696,1264.0,0
,,,,,,,,697,1161.0,0
,,,,,,,,698,1083.0,0
,,,,,,,,699,1039.0,0
,,,,,,,,700,1038.0,0
,,,,,,,,701,1096.0,0
,,,,,,,,702,1192.0,0
,,,,,,,,703,1233.0,0
,,,,,,,,704,1269.0,0
,,,,,,,,705,1164.0,0
,,,,,,,,706,1114.0,0
,,,,,,,,707,1010.0,0
,,,,,,,,708,888.0,0
,,,,,,,,709,872.0,0
,,,,,,,,710,923.0,0
,,,,,,,,711,1014.0,0
,,,,,,,,712,1088.0,0
,,,,,,,,713,1200.0,0
,,,,,,,,714,1322.0,0
,,,,,,,,715,1398.0,0
,,,,,,,,716,1446.0,0
,,,,,,,,717,1468.0,0
,,,,,,,,718,1374.0,0
,,,,,,,,719,1332.0,0
,,,,,,,,720,1263.0,0
,,,,,,,,721,1160.0,0
,,,,,,,,722,1082.0,0
,,,,,,,,723,1039.0,0
,,,,,,,,724,1037.0,0
,,,,,,,,725,1096.0,0
,,,,,,,,726,1189.0,0
,,,,,,,,727,1214.0,0
,,,,,,,,728,1162.0,0
,,,,,,,,729,1039.0,0
,,,,,,,,730,970.0,0
,,,,,,,,731,802.0,0
,,,,,,,,732,746.0,0
,,,,,,,,733,783.0,0
,,,,,,,,734,874.0,0
,,,,,,,,735,1015.0,0
,,,,,,,,736,1055.0,0
,,,,,,,,737,1173.0,0
,,,,,,,,738,1329.0,0
,,,,,,,,739,1448.0,0
,,,,,,,,740,1460.0,0
,,,,,,,,741,1463.0,0
,,,,,,,,742,1386.0,0
,,,,,,,,743,1347.0,0
,,,,,,,,744,1276.0,0
,,,,,,,,745,1170.0,0
,,,,,,,,746,1090.0,0
,,,,,,,,747,1046.0,0
,,,,,,,,748,1046.0,0
,,,,,,,,749,1103.0,0
,,,,,,,,750,1194.0,0
,,,,,,,,751,1240.0,0
,,,,,,,,752,1191.0,0
,,,,,,,,753,1027.0,0
,,,,,,,,754,890.0,0
