Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Time_Index
,,,,,,,,2078.962744,35375.39253,0,333.9052116,3165.016099,27346.36024,14208.98444,249
,,,,,,,,2162.820065,37168.11366,0,353.5639543,3313.634246,27661.54815,13802.11032,250
,,,,,,,,2230.013431,37650.50502,0,361.0460131,3412.319841,27650.72108,13403.74652,251
,,,,,,,,2240.898756,37076.59662,0,361.2905248,3424.508102,27596.98676,13004.16696,252
,,,,,,,,2240.226822,36282.331522075096,0,356.4002903,3419.396896,27557.68852,12713.60048,253
,,,,,,,,2220.875133,35627.28818,0,350.6298136,3409.174483,27318.29007,12487.8745,254
,,,,,,,,2191.578825,34594.77563,0,338.6976414,3387.55015,27332.32516,12459.91203,255
,,,,,,,,2182.709301,33457.95718,0,327.6946138,3378.507247,27624.25492,12709.14269,256
,,,,,,,,2224.503574,32073.59989,0,323.1466957,3491.346951,28657.23716,13382.2681,257
,,,,,,,,2382.139211,34421.932723467995,0,353.1727355,3821.216331,30044.30454,14427.82112,258
,,,,,,,,2427.696313,35831.20642,0,365.3494194,3992.245151,30436.08391,15409.7494,259
,,,,,,,,2402.969155,35474.79818,0,366.3763687,3994.997339,30040.29452,15320.99897,260
,,,,,,,,2353.783611,34712.36744,0,359.7256498,3944.278447,29170.11926,15220.09095,261
,,,,,,,,2251.515308,35192.6008,0,345.152751,3800.771506,27706.05942,14779.98607,262
,,,,,,,,2104.227449,34561.57848,0,322.6576723,3546.783879,24947.16274,13949.2172,263
,,,,,,,,1963.524541,35315.33169,0,296.250406,3277.462633,24893.02742,13242.86104,264
,,,,,,,,1877.517033,35277.9944,0,277.5208078,3075.373407,24088.61656,12788.16705,265
,,,,,,,,1829.003422,32280.280819281703,0,267.202413,2971.183436,24030.0702,12688.47478,266
,,,,,,,,1816.102296,29272.011328976998,0,262.947909,2895.694853,24334.43104,12632.1446,267
,,,,,,,,1839.619974,27411.389788566503,0,264.21937,2889.010968,24868.96727,12707.52168,268
,,,,,,,,1921.595881,27273.37977,0,270.8211866,2968.038078,25926.00966,13170.72598,269
,,,,,,,,2094.685991,29071.14183,0,290.5777339,3203.939899,27861.24735,14078.08769,270
,,,,,,,,2334.969468,32731.774850973998,0,323.2934027,3562.117497,30408.41474,15200.6388,271
,,,,,,,,2451.348378,36669.972,0,349.5050597,3752.804803,31616.63505,15523.22027,272
