Resource,AZ_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_N_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,CA_S_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,MT_WY_CO_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,NM_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,PNW_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,UT_NV_naturalgas_2on1_combined_cycle_fframe_95_ccs_conservative_0,Total
t60,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t61,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t62,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t63,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t64,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t65,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t66,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t67,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t68,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t69,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t70,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t71,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t72,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t73,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t74,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t75,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t76,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t77,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t78,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t79,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t80,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t81,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t82,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t83,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t84,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t85,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t86,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t87,1237.5005337154412,0.0,0.0,0.0,0.0,0.0,0.0,1237.5005337154412
t88,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t89,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t90,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t91,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t92,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t93,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t94,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t95,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t96,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t97,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t98,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t99,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t100,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t101,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t102,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t103,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t104,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t105,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t106,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t107,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t108,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t109,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t110,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t111,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t112,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t113,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
t114,2475.0010674308824,0.0,0.0,0.0,0.0,0.0,0.0,2475.0010674308824
