Resource,NQC_derate
Northern_California_Li_Battery_4hr_35_Generic,0.0
Northern_California_Li_Battery_4hr_38,0.0
Northern_California_Li_Battery_4hr_38_Generic,0.0
Northern_California_Li_Battery_4hr_41,0.0
Northern_California_Li_Battery_4hr_41_Generic,0.0
Northern_California_Li_Battery_4hr_44,0.0
Northern_California_Li_Battery_4hr_44_Generic,0.0
Northern_California_Li_Battery_4hr_5,0.0
Northern_California_Li_Battery_4hr_51,0.0
Northern_California_Li_Battery_4hr_51_Generic,0.0
Northern_California_Li_Battery_4hr_57,0.0
Northern_California_Li_Battery_4hr_57_Generic,0.0
Northern_California_Li_Battery_4hr_5_Generic,0.0
Northern_California_Li_Battery_4hr_68,0.0
Northern_California_Li_Battery_4hr_68_Generic,0.0
Northern_California_Li_Battery_4hr_70,0.0
Northern_California_Li_Battery_4hr_70_Generic,0.0
Northern_California_Li_Battery_4hr_73,0.0
Northern_California_Li_Battery_4hr_73_Generic,0.0
Northern_California_Li_Battery_4hr_76,0.0
Northern_California_Li_Battery_4hr_76_Generic,0.0
Northern_California_Li_Battery_4hr_80,0.0
Northern_California_Li_Battery_4hr_80_Generic,0.0
Northern_California_Li_Battery_4hr_82,0.0
Northern_California_Li_Battery_4hr_82_Generic,0.0
Northern_California_Li_Battery_4hr_83,0.0
Northern_California_Li_Battery_4hr_83_Generic,0.0
Northern_California_Li_Battery_4hr_84,0.0
Northern_California_Li_Battery_4hr_84_Generic,0.0
Northern_California_Li_Battery_4hr_85,0.0
Northern_California_Li_Battery_4hr_85_Generic,0.0
Northern_California_Li_Battery_4hr_92,0.0
Northern_California_Li_Battery_4hr_92_Generic,0.0
Northern_California_Li_Battery_4hr_94,0.0
Northern_California_Li_Battery_4hr_94_Generic,0.0
Northern_California_Li_Battery_4hr_96,0.0
Northern_California_Li_Battery_4hr_96_Generic,0.0
Northern_California_Li_Battery_8hr_100,0.0
Northern_California_Li_Battery_8hr_100_Generic,0.0
Northern_California_Li_Battery_8hr_112,0.0
Northern_California_Li_Battery_8hr_112_Generic,0.0
Northern_California_Li_Battery_8hr_113,0.0
Northern_California_Li_Battery_8hr_113_Generic,0.0
Northern_California_Li_Battery_8hr_114,0.0
Northern_California_Li_Battery_8hr_114_Generic,0.0
Northern_California_Li_Battery_8hr_116,0.0
Northern_California_Li_Battery_8hr_116_Generic,0.0
Northern_California_Li_Battery_8hr_121,0.0
Northern_California_Li_Battery_8hr_121_Generic,0.0
Northern_California_Li_Battery_8hr_122,0.0
Northern_California_Li_Battery_8hr_122_Generic,0.0
Northern_California_Li_Battery_8hr_126,0.0
Northern_California_Li_Battery_8hr_126_Generic,0.0
Northern_California_Li_Battery_8hr_127,0.0
Northern_California_Li_Battery_8hr_127_Generic,0.0
Northern_California_Li_Battery_8hr_130,0.0
Northern_California_Li_Battery_8hr_130_Generic,0.0
Northern_California_Li_Battery_8hr_132,0.0
Northern_California_Li_Battery_8hr_132_Generic,0.0
Northern_California_Li_Battery_8hr_135,0.0
Northern_California_Li_Battery_8hr_135_Generic,0.0
Northern_California_Li_Battery_8hr_138,0.0
Northern_California_Li_Battery_8hr_138_Generic,0.0
Northern_California_Li_Battery_8hr_141,0.0
Northern_California_Li_Battery_8hr_141_Generic,0.0
Northern_California_Li_Battery_8hr_144,0.0
Northern_California_Li_Battery_8hr_144_Generic,0.0
Northern_California_Li_Battery_8hr_149,0.0
Northern_California_Li_Battery_8hr_149_Generic,0.0
Northern_California_Li_Battery_8hr_150,0.0
Northern_California_Li_Battery_8hr_150_Generic,0.0
Northern_California_Li_Battery_8hr_155,0.0
Northern_California_Li_Battery_8hr_155_Generic,0.0
Northern_California_Li_Battery_8hr_157,0.0
Northern_California_Li_Battery_8hr_157_Generic,0.0
Northern_California_Li_Battery_8hr_158,0.0
Northern_California_Li_Battery_8hr_158_Generic,0.0
Northern_California_Li_Battery_8hr_159,0.0
Northern_California_Li_Battery_8hr_159_Generic,0.0
Northern_California_Li_Battery_8hr_166,0.0
Northern_California_Li_Battery_8hr_166_Generic,0.0
Northern_California_Li_Battery_8hr_172,0.0
Northern_California_Li_Battery_8hr_172_Generic,0.0
Northern_California_Li_Battery_8hr_178,0.0
Northern_California_Li_Battery_8hr_178_Generic,0.0
Northern_California_Li_Battery_8hr_179,0.0
Northern_California_Li_Battery_8hr_179_Generic,0.0
Northern_California_Li_Battery_8hr_180,0.0
Northern_California_Li_Battery_8hr_180_Generic,0.0
Northern_California_Li_Battery_8hr_25,0.0
Northern_California_Li_Battery_8hr_25_Generic,0.0
Northern_California_Li_Battery_8hr_26,0.0
Northern_California_Li_Battery_8hr_26_Generic,0.0
Northern_California_Li_Battery_8hr_29,0.0
Northern_California_Li_Battery_8hr_29_Generic,0.0
Northern_California_Li_Battery_8hr_31,0.0
Northern_California_Li_Battery_8hr_31_Generic,0.0
Northern_California_Li_Battery_8hr_35,0.0
Northern_California_Li_Battery_8hr_35_Generic,0.0
Northern_California_Li_Battery_8hr_38,0.0
Northern_California_Li_Battery_8hr_38_Generic,0.0
Northern_California_Li_Battery_8hr_41,0.0
Northern_California_Li_Battery_8hr_41_Generic,0.0
Northern_California_Li_Battery_8hr_44,0.0
Northern_California_Li_Battery_8hr_44_Generic,0.0
Northern_California_Li_Battery_8hr_5,0.0
Northern_California_Li_Battery_8hr_51,0.0
Northern_California_Li_Battery_8hr_51_Generic,0.0
Northern_California_Li_Battery_8hr_57,0.0
Northern_California_Li_Battery_8hr_57_Generic,0.0
Northern_California_Li_Battery_8hr_5_Generic,0.0
Northern_California_Li_Battery_8hr_68,0.0
Northern_California_Li_Battery_8hr_68_Generic,0.0
Northern_California_Li_Battery_8hr_70,0.0
Northern_California_Li_Battery_8hr_70_Generic,0.0
Northern_California_Li_Battery_8hr_73,0.0
