Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7
,,,,,,,,147,12747.0,16697.0,22659.0,14049.0,4225.0,29779.0,12079.0
,,,,,,,,148,12470.0,16897.0,22932.0,13835.0,4148.0,29310.0,12089.0
,,,,,,,,149,12329.0,17251.0,23411.0,13661.0,4063.0,28666.0,11896.0
,,,,,,,,150,12052.0,17465.0,23702.0,13353.0,3989.0,28038.0,11785.0
,,,,,,,,151,11909.0,17352.0,23549.0,13108.0,3886.0,27378.0,11513.0
,,,,,,,,152,11777.0,17018.0,23095.0,13037.0,3823.0,26558.0,11212.0
,,,,,,,,153,11694.0,16941.0,22990.0,13054.0,3782.0,25654.0,11013.0
,,,,,,,,154,11634.0,16755.0,22740.0,13170.0,3792.0,24885.0,10819.0
,,,,,,,,155,11695.0,16526.0,22428.0,13360.0,3885.0,24407.0,10642.0
,,,,,,,,156,12019.0,16507.0,22402.0,13778.0,3979.0,24594.0,10837.0
,,,,,,,,157,12563.0,17224.0,23374.0,14142.0,4091.0,26043.0,11506.0
,,,,,,,,158,12666.0,18044.0,24488.0,14241.0,4048.0,26559.0,11749.0
,,,,,,,,159,12477.0,17771.0,24116.0,14197.0,3959.0,26469.0,11698.0
,,,,,,,,160,12154.0,17190.0,23328.0,13955.0,3832.0,26230.0,11416.0
,,,,,,,,161,11477.0,16335.0,22168.0,13467.0,3671.0,25602.0,10933.0
,,,,,,,,162,10878.0,15009.0,20368.0,12967.0,3560.0,24743.0,10486.0
,,,,,,,,163,10506.0,14016.0,19022.0,12807.0,3576.0,24097.0,10101.0
,,,,,,,,164,10307.0,13422.0,18215.0,12851.0,3603.0,23747.0,9905.0
,,,,,,,,165,10393.0,13272.0,18012.0,12924.0,3652.0,23816.0,9844.0
,,,,,,,,166,10380.0,13109.0,17789.0,12961.0,3775.0,23889.0,9784.0
,,,,,,,,167,10681.0,12900.0,17507.0,13107.0,3998.0,23839.0,9811.0
,,,,,,,,168,11168.0,13316.0,18071.0,13427.0,4142.0,24529.0,10114.0
