Period_Index,Rep_Period,Rep_Period_Index
1191,844,6
1192,764,5
1193,1039,8
1194,2035,24
1195,1039,8
1196,844,6
1197,844,6
1198,764,5
1199,764,5
1200,764,5
1201,2035,24
1202,764,5
1203,2035,24
1204,2035,24
1205,844,6
1206,844,6
1207,1039,8
1208,844,6
1209,1039,8
1210,764,5
1211,2035,24
1212,844,6
1213,844,6
1214,844,6
1215,844,6
1216,1039,8
1217,844,6
1218,1039,8
1219,844,6
1220,844,6
1221,844,6
1222,2035,24
1223,844,6
1224,844,6
1225,844,6
1226,844,6
1227,2035,24
1228,2035,24
1229,2035,24
1230,2035,24
1231,2035,24
1232,1232,14
1233,844,6
1234,1039,8
1235,2035,24
1236,844,6
1237,844,6
1238,844,6
1239,764,5
1240,2035,24
1241,844,6
1242,844,6
1243,844,6
1244,2035,24
1245,2035,24
1246,2035,24
1247,2035,24
1248,2035,24
1249,2035,24
1250,1039,8
1251,2035,24
1252,2035,24
1253,2035,24
1254,2035,24
1255,844,6
1256,844,6
1257,844,6
1258,844,6
1259,2035,24
1260,2035,24
1261,2035,24
1262,844,6
1263,2035,24
1264,2035,24
1265,2035,24
1266,2035,24
1267,2035,24
1268,2035,24
1269,2035,24
1270,2035,24
1271,2035,24
1272,2035,24
1273,2035,24
1274,2035,24
1275,2035,24
1276,2035,24
1277,2035,24
1278,844,6
1279,844,6
1280,2035,24
1281,2035,24
1282,2035,24
1283,2035,24
1284,2035,24
1285,2035,24
1286,2035,24
1287,2035,24
1288,2035,24
1289,2035,24
1290,2035,24
1291,2035,24
1292,2035,24
1293,2035,24
1294,2035,24
1295,1295,15
1296,2035,24
1297,2035,24
1298,2035,24
1299,2035,24
1300,2035,24
1301,2035,24
1302,2035,24
1303,2035,24
1304,2035,24
1305,2035,24
1306,2035,24
1307,2035,24
1308,2035,24
1309,2035,24
1310,2035,24
1311,2035,24
1312,2035,24
1313,2035,24
1314,2035,24
1315,2035,24
1316,2035,24
1317,2035,24
1318,2035,24
1319,2035,24
1320,2035,24
1321,2035,24
1322,2035,24
1323,2035,24
1324,2035,24
1325,2035,24
1326,2035,24
1327,2035,24
1328,2035,24
1329,2035,24
1330,2035,24
1331,2035,24
1332,2035,24
1333,2035,24
1334,2035,24
1335,844,6
1336,844,6
1337,844,6
1338,2035,24
1339,2035,24
1340,2035,24
1341,2035,24
1342,2035,24
1343,844,6
1344,2035,24
1345,2035,24
1346,844,6
1347,844,6
1348,764,5
1349,2035,24
1350,2035,24
1351,2035,24
1352,2035,24
1353,2035,24
1354,2035,24
1355,2035,24
1356,2035,24
1357,1039,8
1358,2035,24
1359,2035,24
1360,844,6
1361,764,5
1362,2035,24
1363,2035,24
1364,2035,24
1365,1365,16
1366,2035,24
1367,2035,24
1368,2035,24
1369,2035,24
1370,2035,24
