ELCC_Surface,Resource,ELCC_Axis_Index,ELCC_Axis_Multiplier
Solar_Storage,Southern_NV_Eldorado_Li_Battery_8hr_40,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Li_Battery_8hr_42,2,1.8571428571428557
Solar_Storage,Southern_NV_Eldorado_Solar_15,1,1.2162380917971434
Solar_Storage,Southern_NV_Eldorado_Solar_16,1,1.2162380917971434
Solar_Storage,Southern_NV_Eldorado_Solar_19,1,1.2162380917971434
Solar_Storage,Southern_NV_Eldorado_Solar_2,1,1.2162380917971434
Solar_Storage,Southern_NV_Eldorado_Solar_40,1,1.2162380917971434
Solar_Storage,Southern_NV_Eldorado_Solar_42,1,1.2162380917971434
Solar_Storage,Southern_PGAE_Adiabatic_CAES_12,2,2.4099000859610173
Solar_Storage,Southern_PGAE_Flow_Battery_102,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_109,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_111,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_117,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_118,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_12,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_124,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_136,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_139,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_140,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_145,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_147,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_148,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_151,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_152,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_154,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_160,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_161,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_162,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_163,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_164,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_165,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_168,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_169,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_17,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_170,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_173,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_174,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_175,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_176,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_177,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_181,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_22,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_23,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_24,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_27,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_3,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_33,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_34,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_37,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_39,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_43,2,1.8571428571428557
Solar_Storage,Southern_PGAE_Flow_Battery_45,2,1.8571428571428557
