Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,LINK_STAGES
NM_landbasedwind_class3_advanced_2,5,1,0,0.0,2,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,117976.0,26066.9,1.02,18255.5,33.981,18518.685,389101.157,0.1,99458.0,0.4333123038834449,1
NM_landbasedwind_class3_advanced_3,5,1,0,0.0,3,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,123618.0,18448.0,1.02,12365.25,31.586,24160.069,507633.844,0.184,99458.0,0.4895965960130817,1
NM_landbasedwind_class3_advanced_4,5,1,0,0.0,4,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,125495.0,25534.2,1.02,18239.5,39.388,26037.952,547091.9,0.059,99458.0,0.3956209925000276,1
NM_landbasedwind_class3_advanced_5,5,1,0,0.0,5,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,116514.0,18871.6,1.02,14482.0,41.583,17056.643,358382.484,0.172,99458.0,0.3470764093213727,1
NM_landbasedwind_class3_advanced_6,5,1,0,0.0,6,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,120793.0,22423.0,1.02,19612.0,48.893,21335.551,448289.484,0.119,99458.0,0.3052982210293168,1
NM_landbasedwind_class3_advanced_7,5,1,0,0.0,7,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,133396.0,21934.1,1.02,17894.0,47.223,33938.503,713097.593,0.115,99458.0,0.34908212451873,1
NM_landbasedwind_class3_advanced_8,5,1,0,0.0,8,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,130341.0,26274.5,1.02,31282.25,67.835,30883.415,648900.321,0.255,99458.0,0.2399384475594341,1
NM_landbasedwind_class3_advanced_9,5,1,0,0.0,9,0.0,0.0,0.0,NM,LandbasedWind_Class3_Advanced_,1.0,23952.0,1,Advanced,Class3,2038.0,1182361.055,136734.0,18147.9,1.02,17342.5,56.223,37276.958,783238.969,0.166,99458.0,0.3000212060597528,1
NM_utilitypv_class1_advanced_1,5,1,0,0.0,1,0.0,0.0,0.0,NM,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,67761.0,285311.5,1.01,40181.877,27.147,12703.963,266926.419,0.493,55058.0,0.2739678347106079,1
NM_utilitypv_class1_advanced_2,5,1,0,0.0,2,0.0,0.0,0.0,NM,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,75319.0,285361.1,1.01,35399.809,30.043,20261.081,425711.096,0.166,55058.0,0.2866089284485225,1
NM_utilitypv_class1_advanced_3,5,1,0,0.0,3,0.0,0.0,0.0,NM,UtilityPV_Class1_Advanced_,1.0,13867.0,1,Advanced,Class1,2038.0,695856.452,78774.0,285304.7,1.01,36338.754,31.465,23716.552,498316.337,0.251,55058.0,0.2801624871228783,1
